timestamp,date,state,commodity,brand,tier,standard,price_inr_per_mt,source
2026-07-02 10:00:00,2026-07-02,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,57800.0,Empirical Mandi / Stockyard Registry
2026-07-09 10:00:00,2026-07-09,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58000.0,Empirical Mandi / Stockyard Registry
2026-07-16 10:00:00,2026-07-16,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,57850.0,Empirical Mandi / Stockyard Registry
2026-07-23 10:00:00,2026-07-23,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,57950.0,Empirical Mandi / Stockyard Registry
2026-07-30 10:00:00,2026-07-30,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58300.0,Empirical Mandi / Stockyard Registry
2026-08-06 10:00:00,2026-08-06,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58500.0,Empirical Mandi / Stockyard Registry
2026-08-13 10:00:00,2026-08-13,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58400.0,Empirical Mandi / Stockyard Registry
2026-08-20 10:00:00,2026-08-20,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58450.0,Empirical Mandi / Stockyard Registry
2026-08-27 10:00:00,2026-08-27,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58600.0,Empirical Mandi / Stockyard Registry
2026-09-03 10:00:00,2026-09-03,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,58900.0,Empirical Mandi / Stockyard Registry
2026-09-10 10:00:00,2026-09-10,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,59000.0,Empirical Mandi / Stockyard Registry
2026-09-17 10:00:00,2026-09-17,Maharashtra,STEEL,Tata Tiscon (Primary),Primary Integrated,IS 1786 Fe-500D,59250.0,Empirical Mandi / Stockyard Registry
2026-07-02 10:00:00,2026-07-02,Maharashtra,STEEL,JSW Neosteel (Primary),Primary Integrated,IS 1786 Fe-500D,57100.0,Empirical Mandi / Stockyard Registry
