fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2020,Limestone,Andhra Pradesh,8889845.0,63438.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Chhattisgarh,5.0,6.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Gujarat,2968046.0,26071.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Jharkhand,564806.0,1861.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Karnataka,3026179.0,21132.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,5310552.0,35536.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Maharashtra,1681264.0,11924.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Odisha,1411815.0,3912.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,9109507.0,52540.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,5129212.0,26442.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,28481.0,192151.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,60.0,105.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Karnataka,21747.0,11495.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,314336.0,160450.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Gujarat,255909.0,4240183.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Tamil Nadu,8925.0,96826.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,46226.0,1176813.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Gujarat,83.0,200.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,19213.0,97581.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Gujarat,859.0,4690.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,13500.0,55445.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Rajasthan,449238.0,1676067.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Andhra Pradesh,1260.0,176.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
2020,Limestone,Madhya Pradesh,136196.0,207768.0,10202014112847msmpmar14_19_Mineral Production ( Mineral.pdf
